Age,Gender,Income,Education,Occupation
25,Male,0,HS-grad,Exec-managerial
18,Female,0,HS-grad,Adm-clerical
60,Female,1,HS-grad,Sales
72,Male,1,Bachelors,Prof-specialty
34,Male,0,HS-grad,Prof-specialty
18,Female,0,Bachelors,Prof-specialty
35,Male,0,Some-college,Craft-repair
35,Female,1,Masters,Craft-repair
37,Male,0,Some-college,Adm-clerical
25,Female,0,Assoc,Sales
47,Female,0,Assoc,Craft-repair
46,Female,0,HS-grad,Craft-repair
20,Male,1,Bachelors,Other-service
48,Male,0,HS-grad,Exec-managerial
66,Male,0,Masters,Prof-specialty
41,Female,1,Bachelors,Exec-managerial
35,Female,1,HS-grad,Craft-repair
37,Female,0,HS-grad,Adm-clerical
47,Male,0,Some-college,Tech-support
18,Female,0,Masters,Prof-specialty
41,Male,0,Masters,Sales
34,Male,0,HS-grad,Other-service
63,Male,0,HS-grad,Adm-clerical
37,Female,0,Some-college,Sales
61,Male,0,Bachelors,Adm-clerical
25,Female,0,HS-grad,Exec-managerial
47,Female,1,Some-college,Tech-support
43,Male,0,Assoc,Adm-clerical
28,Male,0,Some-college,Other-service
41,Male,1,Bachelors,Prof-specialty
55,Female,0,Some-college,Exec-managerial
35,Male,0,Some-college,Adm-clerical
18,Male,0,Bachelors,Prof-specialty
39,Female,1,HS-grad,Prof-specialty
27,Male,0,HS-grad,Craft-repair
35,Female,1,Doctorate,Prof-specialty
38,Male,0,Assoc,Adm-clerical
18,Male,0,Bachelors,Other-service
18,Male,0,HS-grad,Exec-managerial
45,Male,1,HS-grad,Prof-specialty
32,Female,0,HS-grad,Sales
18,Male,0,Assoc,Sales
49,Male,0,Masters,Other-service
43,Female,1,Some-college,Other-service
30,Female,1,Doctorate,Craft-repair
22,Male,0,HS-grad,Exec-managerial
50,Male,1,Bachelors,Sales
44,Male,0,HS-grad,Adm-clerical
70,Male,0,HS-grad,Sales
44,Male,0,Assoc,Adm-clerical
44,Female,0,Assoc,Other-service
37,Female,0,HS-grad,Sales
50,Male,1,HS-grad,Prof-specialty
47,Male,0,Bachelors,Exec-managerial
55,Male,0,HS-grad,Other-service
32,Male,0,Bachelors,Sales
33,Male,1,Bachelors,Tech-support
33,Male,0,HS-grad,Tech-support
49,Male,1,HS-grad,Adm-clerical
58,Female,0,HS-grad,Adm-clerical
33,Male,0,Assoc,Craft-repair
33,Male,0,Some-college,Sales
43,Female,0,Bachelors,Prof-specialty
36,Male,0,HS-grad,Exec-managerial
51,Male,0,Bachelors,Other-service
18,Male,0,HS-grad,Adm-clerical
28,Male,1,HS-grad,Sales
29,Female,1,Bachelors,Prof-specialty
18,Female,1,Bachelors,Exec-managerial
26,Female,0,HS-grad,Adm-clerical
27,Female,1,Some-college,Sales
36,Male,1,Doctorate,Sales
53,Male,0,HS-grad,Craft-repair
36,Male,0,HS-grad,Prof-specialty
26,Female,0,Some-college,Prof-specialty
38,Female,0,HS-grad,Exec-managerial
53,Female,1,Bachelors,Prof-specialty
26,Male,0,Bachelors,Exec-managerial
27,Female,0,Some-college,Tech-support
46,Male,1,Bachelors,Sales
36,Male,1,Some-college,Adm-clerical
47,Male,1,Masters,Sales
39,Female,0,HS-grad,Exec-managerial
48,Female,0,HS-grad,Other-service
26,Male,0,Bachelors,Prof-specialty
39,Male,0,HS-grad,Adm-clerical
36,Female,0,HS-grad,Sales
23,Male,0,Some-college,Adm-clerical
19,Male,0,Bachelors,Tech-support
48,Female,0,HS-grad,Other-service
34,Female,1,Bachelors,Sales
26,Female,1,Masters,Prof-specialty
38,Female,1,Bachelors,Prof-specialty
54,Female,0,HS-grad,Exec-managerial
18,Male,0,Masters,Adm-clerical
20,Female,0,HS-grad,Other-service
27,Male,1,Assoc,Exec-managerial
58,Male,0,Bachelors,Craft-repair
43,Female,0,HS-grad,Craft-repair
49,Female,0,Masters,Other-service
24,Male,0,Some-college,Other-service
24,Male,0,Some-college,Exec-managerial
45,Male,1,Some-college,Craft-repair
